age,gender,marital,education,category,frequency,amount
3,0,3,2,17,1,162.7
3,0,3,2,19,3,24.099999999999998
3,0,3,2,5,1,120.0
3,0,3,2,8,4,19.405
3,0,3,2,16,2,40.13
3,0,3,2,19,1,45.9
3,0,3,2,3,2,139.93
3,0,3,2,8,2,28.810000000000002
3,0,3,2,16,2,91.51
3,0,3,2,19,1,45.9
3,0,3,2,5,1,150.2
3,0,3,2,7,1,150.01
3,0,3,2,8,1,71.97
3,0,3,2,19,1,45.9
3,0,3,2,5,2,103.425
3,0,3,2,8,6,32.82333333333333
3,0,3,2,16,1,15.0
3,0,3,2,19,4,33.065
3,0,3,2,5,1,33.7
3,0,3,2,8,5,43.998000000000005
3,0,3,2,16,3,217.04999999999998
3,0,3,2,19,3,131.96666666666667
3,0,3,2,5,1,120.0
3,0,3,2,8,2,10.0
3,0,3,2,16,2,3.5
3,0,3,2,19,8,49.4875
3,0,3,2,8,5,32.636
3,0,3,2,12,1,1260.0
3,0,3,2,16,4,31.9425
3,0,3,2,19,4,168.645
3,0,3,2,8,1,23.39
3,0,3,2,16,1,360.45
3,0,3,2,19,4,40.475
3,0,3,2,8,3,36.596666666666664
3,0,3,2,19,2,42.95
1,0,3,1,5,1,266.89
1,0,3,1,19,5,36.09400000000001
1,0,3,1,5,2,160.9
1,0,3,1,19,2,94.125
1,0,3,1,5,1,998.45
1,0,3,1,11,1,76.0
1,0,3,1,19,2,66.945
1,0,3,1,19,3,71.78333333333335
1,0,3,1,3,1,60.0
1,0,3,1,19,7,73.97857142857143
1,0,3,1,8,2,91.695
1,0,3,1,19,5,104.77000000000001
1,0,3,1,19,2,218.575
1,0,3,1,1,1,3597.5
1,0,3,1,19,2,218.575
1,0,3,1,19,2,218.575
1,0,3,1,19,2,218.575
1,0,3,1,20,2,41.63
1,0,3,1,5,1,133.72
1,0,3,1,19,2,218.575
1,0,3,1,4,1,55.8
1,0,3,1,5,1,125.99
1,0,3,1,19,2,218.575
1,0,3,1,20,1,48.49
1,0,3,1,19,1,308.9
5,0,1,1,16,1,89.9
5,0,1,1,17,1,22.35
5,0,1,1,19,11,33.585454545454546
5,0,1,1,3,1,229.3
5,0,1,1,8,1,22.35
5,0,1,1,16,1,89.9
5,0,1,1,19,5,37.648
5,0,1,1,20,1,51.06
5,0,1,1,16,1,89.9
5,0,1,1,17,1,22.35
5,0,1,1,19,6,49.01
5,0,1,1,8,1,22.35
5,0,1,1,16,1,89.9
5,0,1,1,19,7,36.69428571428572
5,0,1,1,16,2,489.425
5,0,1,1,17,1,22.35
5,0,1,1,19,7,21.755714285714284
5,0,1,1,5,1,299.63
5,0,1,1,8,1,180.64
5,0,1,1,16,1,89.9
5,0,1,1,17,1,22.35
5,0,1,1,7,1,41.5
5,0,1,1,16,1,89.9
5,0,1,1,17,1,22.35
5,0,1,1,18,2,48.65
5,0,1,1,20,2,100.345
5,0,1,1,5,1,629.99
5,0,1,1,6,1,1799.0
5,0,1,1,16,1,89.9
5,0,1,1,17,1,22.35
5,0,1,1,19,1,125.8
5,0,1,1,4,1,28.88
5,0,1,1,5,1,37.97
5,0,1,1,6,1,39.96
5,0,1,1,16,1,89.9
5,0,1,1,17,1,22.35
5,0,1,1,19,1,140.0
5,0,1,1,8,1,22.35
5,0,1,1,16,1,89.9
5,0,1,1,5,1,195.0
5,0,1,1,16,1,89.9
5,0,1,1,17,1,22.35
5,0,1,1,18,1,34.9
5,0,1,1,8,1,22.35
5,0,1,1,16,1,89.9
5,0,1,1,7,1,48.74
5,0,1,1,17,1,22.35
3,1,1,1,11,1,108.0
3,1,1,1,18,7,459.2957142857144
3,1,1,1,19,1,70.0
3,1,1,1,20,4,202.03499999999997
3,1,1,1,5,3,158.23
3,1,1,1,7,4,76.0125
3,1,1,1,11,3,100.67666666666666
3,1,1,1,16,1,89.99
3,1,1,1,18,4,5.250000000000001
3,1,1,1,19,4,20.625
3,1,1,1,20,7,203.02857142857144
3,1,1,1,1,1,34.9
3,1,1,1,3,1,79.0
3,1,1,1,5,5,1132.592
3,1,1,1,7,4,127.12500000000001
3,1,1,1,10,1,369.99
3,1,1,1,11,3,187.46
3,1,1,1,13,1,1819.5
3,1,1,1,18,4,63.025000000000006
3,1,1,1,19,8,58.5725
3,1,1,1,20,3,54.64333333333334
3,1,1,1,5,4,539.225
3,1,1,1,11,2,150.26999999999998
3,1,1,1,18,9,961.4155555555558
3,1,1,1,19,2,100.0
3,1,1,1,20,6,214.4333333333333
3,1,1,1,6,1,103.38
3,1,1,1,7,1,21.09
3,1,1,1,19,1,100.0
3,1,1,1,20,2,54.88
3,1,1,1,5,4,643.8125
3,1,1,1,6,1,92.09
3,1,1,1,7,6,155.03166666666667
3,1,1,1,11,1,220.04
3,1,1,1,16,1,329.49
3,1,1,1,18,2,16.75
3,1,1,1,19,5,81.602
3,1,1,1,20,5,324.996
3,1,1,1,5,1,2899.25
3,1,1,1,7,2,159.155
3,1,1,1,11,1,24.0
3,1,1,1,16,1,133.3
3,1,1,1,19,14,149.8078571428571
3,1,1,1,20,2,856.755
3,1,1,1,16,1,495.0
3,1,1,1,19,5,629.8439999999998
2,0,1,1,16,1,120.7
2,0,1,1,18,1,51.0
2,0,1,1,8,1,482.8
2,0,1,1,16,1,45.01
2,0,1,1,3,1,1577.6
2,0,1,1,11,1,102.15
2,0,1,1,18,1,400.0
2,0,1,1,3,1,339.8
2,0,1,1,5,4,231.35250000000002
2,0,1,1,6,2,50.349999999999994
2,0,1,1,7,1,185.23
2,0,1,1,10,1,83.8
2,0,1,1,11,2,104.2
2,0,1,1,16,3,104.66333333333334
2,0,1,1,18,2,123.91
